"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244","V245","V246","V247","V248","V249","V250","V251","V252","V253","V254","V255","V256","V257","V258","V259","V260","V261","V262","V263","V264","V265","V266","V267","V268","V269","V270","V271","V272","V273","V274","V275","V276","V277","V278","V279","V280","V281","V282","V283","V284","V285","V286","V287","V288","V289","V290","V291","V292","V293","V294","V295","V296","V297","V298","V299","V300"
"eaten.eaten",143,149,123,121,134,144,138,146,147,142,141,134,141,145,130,134,146,137,142,126,142,136,145,139,134,121,150,129,145,138,136,166,131,132,149,149,152,159,157,156,140,135,130,149,138,148,145,129,130,127,140,140,148,128,128,129,136,131,149,156,140,136,138,146,138,124,142,137,136,127,129,124,125,144,146,128,140,125,139,144,141,155,134,128,154,126,137,158,131,144,141,141,152,133,134,137,151,134,129,138,141,127,134,148,145,134,127,138,148,141,128,145,141,136,141,134,142,154,124,135,138,125,146,141,150,133,146,158,129,141,144,133,136,130,144,126,131,130,137,132,146,135,153,150,136,132,135,149,143,132,141,139,140,138,125,146,133,125,129,147,132,144,132,142,133,151,120,135,148,149,140,140,146,147,132,136,134,131,139,152,132,139,131,129,138,127,129,130,147,133,130,133,139,141,133,137,136,133,151,134,137,123,139,132,141,124,147,140,134,143,154,129,143,129,134,149,147,126,142,137,129,134,129,153,144,126,145,148,130,141,137,129,130,146,154,148,152,136,133,143,125,126,132,135,162,137,122,119,138,147,138,118,127,141,135,138,141,132,142,132,137,139,146,148,132,141,139,142,150,126,143,135,147,132,138,144,136,125,130,137,146,165,148,130,135,136,145,145,132,127,134,131,124,144,159,137,129,135,148,137
"n_fruits_created",320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320
"scalarproptimeval",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"inaccuracy_factor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"time_to_ripen",30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
"edibilityPrim",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"time_to_dis",16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
"decay_start",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Fruit_max",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"visual_det_range",27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474,27.9508497187474
